Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
4275,4,3,1959,3.2762481232302587,0,4,896792.553841208
1418,2,3,1996,3.2870455436161015,0,8,353161.46132211224
3604,1,2,1966,3.3915992464563534,0,3,740286.5597469498
1451,5,3,1972,1.9401229245307636,1,8,338786.44407016825
2458,2,1,1962,3.9085900045282296,1,10,523387.09594019287
1995,2,1,1983,0.5658271649495408,1,1,397482.74798703607
1275,2,2,1979,2.9551333220111653,0,10,296291.0010075069
2028,2,3,1967,1.784789510533302,2,2,434165.89663405064
3620,4,1,1978,2.228191872759952,0,5,738643.2007694525
2863,1,3,1957,3.4149840482765392,0,4,582468.7977365239
3957,3,3,2022,2.813904680042026,0,5,885550.3826256534
1684,5,3,1988,3.9942018619295814,1,8,440726.2848162878
3617,4,2,1974,4.744286703325782,2,6,804727.9577270229
1395,4,2,1973,3.3056502373368337,0,2,336073.5215992294
3121,4,2,2016,3.927541442961482,1,10,728927.0713778214
4521,5,3,2008,4.5621747970041024,2,2,1039730.2135109294
2705,1,3,2003,4.100330444345905,2,8,628610.9650581649
3051,1,2,1999,1.4980189018654337,0,6,624411.6024682868
1069,5,1,1957,0.8366954233773787,1,5,234389.76681767975
1559,1,1,2003,2.528493277488637,1,4,364658.5286208398
3835,3,2,1958,4.011565382330714,2,9,806269.4033782159
1103,5,1,1985,3.770774739717069,1,1,280149.1863612468
3037,1,3,2014,3.3376142371239155,2,8,699683.2484112402
4675,2,1,2015,4.774548507107342,0,7,1033450.4577544982
966,1,2,1977,2.73066687604351,1,8,229698.9186636115
1401,1,1,2012,2.9874306561511244,0,4,321278.1795200379
2955,5,2,1962,4.542071287789558,2,4,684425.2003263966
1978,4,2,1999,3.8438669283412104,1,7,485380.95019563066
3869,4,1,2009,3.283371764231835,1,1,878704.0956397129
1062,2,2,1968,1.538575942669393,2,8,250362.35906874528
1888,5,1,1982,4.725483899386899,2,4,477884.3169302657
967,3,2,2006,1.0938439383078278,0,5,240302.2199712505
837,4,1,1967,2.1795852037065524,1,10,191117.1012230497
2406,5,2,1988,0.9307807463497879,1,1,533178.2402465394
4423,1,1,1965,3.865074573917176,0,5,888140.07598706
4691,1,2,1985,3.010673503178153,2,8,971514.7620428527
2482,1,3,1959,1.8663077216472812,2,6,507185.45440816105
2549,5,3,2015,4.374703847764904,2,3,656223.1627305328
1002,4,2,2000,3.7074995429757394,2,4,307101.6858385633
3800,5,2,1995,4.8896286274130984,1,1,888184.3038431654
2628,4,2,1987,2.4985186092334954,0,4,576020.0443075488
1459,1,3,2004,3.60805897016603,0,5,370992.4565584571
3097,5,1,1959,4.5030947824872145,2,5,697909.6503581115
1647,2,2,1979,0.5771740186183916,0,9,316130.2555576059
2827,3,1,1977,3.213677997739775,2,4,605143.9591154716
4798,5,1,1997,3.3450716789053745,2,1,1045202.3496436334
4988,4,2,1968,1.3341775058713017,2,4,1026397.2966122321
2148,3,1,1983,4.884114443651402,2,10,517515.4060050993
3940,2,1,1958,3.2170864636809324,0,10,804904.7205412153
1752,2,1,1979,2.77078561073463,1,7,373171.5899458196
3286,5,3,1958,1.4697534149039797,2,9,681361.2493428746
4518,4,2,1971,1.377540411973771,2,2,926094.1390762049
3004,1,2,1993,4.082033310922775,0,9,647388.2995956682
4291,2,1,1980,1.2714537951974423,1,10,862580.4983858576
509,5,3,1957,1.4386476548347282,1,1,140538.08318538152
4079,5,3,2007,1.4763031063874579,1,10,909836.0848436899
1545,1,2,1970,3.173372512563706,1,3,338170.31528112484
2224,4,3,2017,0.8646737470927555,0,5,518166.38138878136
1782,2,1,1982,3.981481542030496,0,6,400585.46235503367
2643,3,1,1964,4.617346392850859,0,5,572941.4282388942
1013,1,1,1977,4.737095837302702,1,7,248621.82614873745
3734,3,2,2005,0.6123479995402572,0,1,785248.3619879358
3391,1,3,1977,1.4555028842910107,1,3,694917.3008745462
4727,2,2,1955,2.7818709082712,2,4,976049.1314638923
2605,1,2,1991,2.6861784301068417,0,8,557218.6456389157
4933,3,1,2015,4.7693497781737,2,7,1096158.2899088082
2891,2,3,1982,3.9784402458751407,0,2,635097.3959198
3801,2,3,1955,2.4604015570542943,1,1,783978.6474904561
4646,2,2,1972,0.5141340772165495,2,8,915005.2948821838
3519,5,3,1966,4.009947471097449,0,10,788284.6902015205
4749,3,2,1970,3.8372117875330347,1,6,1007770.5792970627
2215,5,2,1966,3.7183390465110855,0,9,486872.0567091347
2484,3,2,2006,1.9031096163009589,1,1,562238.4809757017
974,4,1,2006,4.5104003287862104,2,1,280961.6803897855
1824,2,1,2017,2.0364137132193423,0,5,427947.1030973768
1521,2,3,2013,2.5087410061843767,0,5,377511.26849809097
2145,4,1,2009,4.6592918185759755,2,1,524818.9633293215
626,2,1,1959,1.178093691503752,2,1,113576.51237037641
3433,3,2,2004,1.1169025613544044,2,5,739205.5159327254
1779,5,3,2016,3.326537890596073,1,10,480192.24523579155
1495,3,2,1986,2.074752227883379,2,1,346932.6209008944
4343,3,3,1955,3.23784021146008,1,1,899382.8651584806
3652,2,1,1968,0.9244734183096963,2,7,734985.0630470021
3873,4,2,1986,0.5289584517355808,1,9,801313.0610758337
2700,5,3,1965,3.1087677069375115,2,4,617900.4948407207
2541,5,1,2005,1.4358036168022548,0,8,565562.7504321395
3011,4,3,1984,1.890301955306687,1,1,658260.7060110456
4915,5,2,1956,1.9939923240699433,1,3,1011770.8785945608
3371,4,2,2000,1.5803183321940493,0,1,736289.1245550752
917,1,2,1992,3.534798433162917,2,4,251359.79864274812
697,1,3,1977,4.061585934002835,1,9,202427.97400689824
2319,2,2,1998,0.8939689881250128,0,1,501720.6757217424
1471,5,1,1982,1.2019138866451993,0,3,341253.2207795087
3256,4,1,1968,3.007897588914388,1,7,701609.1002837394
3940,4,2,1966,3.2484682880826736,0,7,842172.2092376931
3247,1,2,2005,4.467035547233406,1,10,740174.0146550778
3095,4,2,1966,2.90915573531743,0,4,670894.0581247887
654,5,2,1960,1.4327284058045042,2,8,158636.70310577296
3068,3,1,1986,2.0759134599082865,0,8,654466.9454086807
3438,3,1,1980,3.3669261537099913,2,8,738091.5512277477
1106,1,3,1979,1.0757161603030243,0,9,219426.92448759972
1216,4,2,1973,3.094125969009893,1,1,299226.76708907617
2656,5,2,2008,2.490135244338016,1,7,619516.332475993
3919,4,2,2012,1.7409083199857658,2,3,875382.7427446679
4102,1,1,1975,1.8242003148670145,2,4,838955.4538986462
2179,1,2,1977,1.757371478792324,0,1,443005.62363881344
3722,1,2,1975,3.4402257431540626,1,7,781388.9356850483
3952,1,2,1988,4.984545453300421,1,9,875163.0460692297
2843,5,1,2019,2.508988648084469,1,2,691113.9194565738
4638,4,3,2000,1.4903990459212395,1,3,998439.2371139774
2469,5,1,1987,4.438031200511212,2,9,600564.2006890622
2876,3,2,2011,4.223104496717655,1,10,663568.5126665218
2324,4,2,1968,0.622625053778668,2,10,506990.3247570412
637,1,2,1990,2.8924746069401737,2,8,190828.13988469378
660,1,1,2016,3.5856524432013974,0,6,203447.4833684562
884,1,3,1964,4.072682236369841,1,2,217669.88490550494
1228,2,1,1953,3.318450582452878,2,2,269736.4362439106
1842,3,1,1977,1.2708273101975167,1,4,405144.670068021
2257,5,1,1968,3.1310064057462115,0,2,501305.5489940659
3804,3,1,1996,3.33517945315992,2,6,832386.3311958439
3213,4,2,1950,2.989003869762672,2,10,665309.7683934513
3290,3,1,1954,3.7595498284829283,1,10,696709.415289048
1322,2,3,1981,3.43827346162029,2,5,345655.79485490214
1270,1,3,1953,2.3934254079466664,2,10,264215.33977452776
4077,1,1,2003,1.816323914643134,1,7,848697.2899849606
1754,2,2,1998,0.9197215105017645,2,4,398823.2673263778
3279,5,3,1975,4.025750363803655,0,8,746167.7281082802
1993,4,3,1989,2.032451759659536,0,7,462185.7241886994
3824,1,2,2018,2.0609868936397353,0,6,802714.096172766
1175,4,2,1978,4.677725775363384,0,7,310471.3888855296
3008,4,2,2008,4.3855957865365855,2,4,716524.6919885611
4734,5,3,1969,3.773881536012927,0,4,1021159.6924822455
4030,4,1,2004,0.9751619568948799,0,1,844959.8412339088
3217,5,3,2012,4.368003786130716,2,7,779867.2165969982
1832,4,3,2007,1.0682201169847934,1,5,432387.0410257919
4643,1,3,2019,4.557123523791804,2,3,1021134.6211894122
1036,4,3,1967,1.9321791862357665,1,10,238220.48454485086
1581,3,3,1992,1.6225619193195453,0,2,342679.45001245977
4175,3,1,1972,2.633739333223939,1,9,869924.3421379088
1232,4,3,1964,2.028966090344797,2,9,297268.39963389
2481,3,2,1961,1.7530589586810785,2,3,513720.44181706064
3174,1,1,1976,4.986091483652099,0,5,678385.989963216
904,3,3,1957,1.2123675504752645,0,5,198204.1283050715
4452,1,1,1975,3.4318205749800157,0,3,914555.7450033635
1970,4,2,1952,4.413227371136498,2,8,453359.87163545546
3559,2,1,2003,3.2173294214312507,2,8,758946.7724048437
3972,3,2,2018,2.9200232063361944,0,5,878049.2511558104
3331,3,3,1969,0.8723031783065185,2,1,687869.2513012193
1145,1,3,2008,0.9193825380321261,1,3,275063.0991470561
3093,1,3,2011,0.6311983370994005,0,2,650748.6977489772
1010,2,2,1990,3.6955968825404177,0,4,246540.96593599638
1884,4,1,1957,2.1054592023047265,2,7,414166.584309186
702,5,3,1971,0.5257336161235517,1,5,183663.64645731918
3778,2,2,2006,1.5761414544553543,2,5,818613.7108034128
4236,4,3,1970,1.284095307404208,1,2,872676.434152397
2943,3,3,2018,3.350352831089572,1,2,690305.8227623077
4413,3,2,2002,4.750995794769929,1,9,983106.2224146987
2408,2,2,1975,1.13498417309608,0,8,476966.9362678016
1984,5,1,1957,4.376811682521021,0,2,472657.61431723344
3592,1,2,2016,3.634822720478255,0,9,777977.3901185812
1012,2,2,1983,4.564841064690698,0,9,264395.09178796335
2636,4,1,2022,3.9560244589094435,1,8,645781.7324767867
912,4,1,2008,1.055303668425184,0,5,233504.5137836983
4263,2,3,1953,4.361541774129966,1,4,893926.6294720689
3262,2,3,2015,0.8941608383267587,1,3,696027.2851612554
3618,3,2,2006,2.329505527136469,0,1,793421.1417884243
4061,1,1,1952,2.239790776852254,0,6,787420.4040749857
1865,2,1,1960,1.393209835724071,0,7,366797.3447576696
1394,4,1,1983,4.352596245561846,0,5,338350.5954344411
3419,2,3,1999,4.130409037051067,1,10,772740.0707275409
4351,5,2,1971,3.6303109355932612,2,1,944921.9815744858
4952,4,3,1995,4.725027320185737,2,9,1099211.6405116057
1399,2,2,2003,1.6805433505142557,0,3,310271.2636685363
1268,5,3,1954,3.0768928390201307,2,8,321199.3469094537
1981,4,3,1984,3.9537447376581745,2,10,489595.41246134235
2193,5,1,1968,3.6618809263620298,0,10,497340.9981159924
3736,1,1,1955,4.962632330176033,0,7,758293.3788835382
2606,4,2,1962,4.055066787019469,0,2,572024.023634332
3396,3,3,2007,3.668374720946026,0,10,762080.8235471162
4056,3,3,1992,2.7975280793420216,1,4,883819.0911218557
2954,5,1,1970,1.6620395884977202,1,4,627923.6171994702
2353,3,3,1956,4.026975750577622,1,5,534464.9120087984
3783,4,3,1963,4.626239216904121,2,10,839074.0204275192
4926,2,1,1993,4.699072554837388,0,8,1041740.8589249004
2417,4,1,2003,3.9158911965003727,2,8,580272.8715936985
630,3,3,1997,1.0142859649909075,1,8,173875.03721558454
1650,5,2,2022,4.098730611284238,2,9,474045.8427124246
4219,1,3,1999,3.4350590890959833,1,1,907601.7861704029
1752,3,2,2009,2.8053515609918627,1,6,432824.65856336313
2475,5,2,2011,4.235679423490632,0,3,594005.0065233838
3787,1,1,1952,2.482580876055383,1,6,745395.8553692064
2139,1,1,1999,0.6110787075106308,0,10,422950.9047116141
3683,4,3,1989,2.362223593943581,0,5,801206.2036701888
760,2,1,2011,1.8337640309387755,2,3,211508.5901215244
3419,3,2,1962,4.407848545736219,2,5,752101.9024207598
4443,4,3,1976,4.741456728546074,1,1,981190.782911222
4685,5,2,2017,0.9147558131259454,2,1,1015603.7016174662
4277,5,1,2015,0.772722084717094,1,7,927092.4059599083
1199,1,1,1953,2.45927140779081,0,2,211038.85316259583
3624,2,1,2022,2.0617806582472773,1,3,786580.3015186453
2182,2,1,1967,0.5712042739856937,1,2,408013.5790622347
2292,1,2,2000,3.1153794067443044,2,1,512734.77889379323
3586,2,2,1964,2.568428688468076,0,10,724033.5604571347
2486,4,1,1979,2.366668037250262,0,7,543734.421890143
4929,3,3,1971,4.057342296222531,2,5,1062899.029267778
4474,2,2,2022,3.4097019977689786,0,2,985699.1860734548
919,2,3,1985,1.1078606580159231,2,6,217213.6452196605
4993,3,2,1966,2.237953967676638,1,3,1020324.7565966452
4650,3,3,1955,3.531657800939704,2,10,988234.6180212417
1100,1,1,1976,3.370558435488327,1,2,241079.3234902556
2871,5,1,1974,3.4269136197073893,2,6,636552.7524853058
1360,2,1,1981,0.5996366396268326,0,5,262382.8522740563
2055,1,3,2011,1.8635787814191351,0,3,460741.2339285246
4670,4,3,1977,2.8093238769055047,0,10,1001847.3602497705
3946,2,1,1962,0.927087985703058,1,8,779202.6809723858
4889,4,2,1991,4.825217370695743,2,8,1064004.872579212
4590,1,3,1958,2.768016936183467,0,2,918893.7439235622
1800,2,2,2004,3.3756447151171436,2,10,443408.30597782374
4789,3,2,1968,1.9289956094127578,2,4,988358.2476373827
4991,2,1,1996,0.6867462523238574,2,1,1023975.1331555477
4863,2,3,1983,4.7169902521385465,0,9,1047149.2482085732
3419,1,1,1972,2.805281407595683,1,1,703413.1109446795
1213,1,3,2017,1.8702163973702788,1,2,305026.7707546245
4951,3,1,1982,1.073685560631108,2,3,1017583.4273609958
3885,2,3,1983,3.251014709974911,1,9,838719.430503504
1743,2,1,1962,2.708442530205622,0,5,344363.2736819858
4636,4,1,1969,3.6486734274476427,2,7,985351.0239129456
619,5,1,2020,2.852420637028414,2,5,224507.20014868546
3951,4,2,1971,2.714245202220803,2,4,851472.5994111879
4646,4,1,2012,4.974868704014931,1,7,1046163.3264236907
1376,5,2,1986,3.4889077088230356,1,8,348893.55395287194
3794,1,1,1987,2.0768596250458886,0,1,783176.6365627198
4597,3,2,2016,3.680770351012435,0,9,1006939.6644174114
895,1,3,2021,2.146486143005962,1,6,235478.10213396218
3175,5,3,2004,4.040187533182891,1,4,744681.397063456
2182,3,3,1953,2.130940951771231,2,5,470978.4795328964
2565,4,1,1987,0.7485013433436281,0,2,527544.910534171
3195,1,1,1962,3.913258464123758,2,1,663904.9927177994
3554,2,2,1994,0.8001224663245199,1,9,734201.4615779822
2253,3,2,2012,3.95657680271397,1,4,551444.6316158974
2538,4,3,1998,4.892147143700917,0,10,611557.8808542505
2688,2,3,1997,2.2904787900066035,0,10,601890.2919093702
1515,2,1,1975,1.0206559318113597,1,3,327253.4579829949
1424,4,3,1954,4.428989792439024,2,6,379005.71186711837
3974,4,3,2018,4.219934258572882,0,6,928059.7129533672
4985,1,2,1990,1.6080987243677005,1,5,1032002.2381140393
2979,4,2,1993,2.1702628220878912,0,8,646766.2897519646
3201,1,1,1978,3.2774846264505535,0,5,662119.9410580613
3090,1,2,1954,3.0479675708867746,2,7,641013.919122572
4706,2,2,1998,3.6068257485998236,1,7,1000021.7606809204
3046,5,2,1956,3.6611975371481096,0,5,676719.1220590248
3728,2,3,2003,3.4751330529291344,1,7,816939.5874308393
1848,2,2,1952,2.8403332750001766,0,8,381998.6086592969
3203,3,3,1950,3.648604590764188,2,2,673586.747670695
2131,3,1,1959,4.9483474159795104,1,6,457643.0980423783
2535,1,2,2017,0.774532143524277,2,5,533656.3940212176
3058,2,1,2017,1.498552073529678,0,2,672852.0519810001
2538,5,3,1968,0.784131318173261,0,2,551463.8888534079
2743,4,2,1981,2.2014534640435284,1,5,606157.4972713309
1284,5,2,1976,4.219782554761199,1,7,350816.184399563
2302,5,2,1957,2.2060744626904114,2,3,501913.64710804133
2476,1,3,1992,0.7956145242034665,1,6,513292.75970622
3467,5,3,1953,3.8918033169260204,1,4,760678.6016673865
2323,3,3,1991,1.5171493855489344,2,5,511645.2377877411
3568,2,3,2022,3.9462306765570943,1,2,818706.7764361517
1453,4,3,1970,3.551512239293939,0,4,367172.5872737959
3948,1,1,2017,1.759516935108921,0,5,823529.5488742903
725,2,1,1980,1.608287084647392,2,6,165242.29785174478
2119,2,1,2007,2.3347209679935137,0,4,468251.3632686849
2178,1,2,2013,1.101427616347331,1,10,480961.44203831744
1304,5,2,1968,4.849463824484371,2,6,357477.33266695193
3361,4,1,2022,1.6413599998131723,2,3,762769.5055574658
3372,5,1,1986,2.4906493989608847,0,4,733900.7559066785
3353,4,2,1976,1.9571880870609413,0,2,701368.1143168806
3398,1,3,1983,1.2607780029787232,2,8,706686.3209428937
1419,2,3,1955,3.047322409016743,2,6,312202.08717502066
1814,2,2,2002,1.0277606651020026,2,5,405940.62394306617
4965,5,2,1977,3.0314984057287133,2,2,1075864.2810329462
1023,4,1,1997,3.4612474273754934,2,2,287822.37687763135
2836,4,3,1981,0.5060582193045366,0,6,605369.8615424815
3856,2,3,2014,1.2438602876208258,2,5,824351.6710960343
3876,2,2,1994,1.4805891871340606,0,9,795928.1818267058
2357,1,3,1997,0.5827376396821877,1,3,503962.1877251642
3554,5,2,2008,3.214364745266004,2,1,826606.0146181242
4999,5,1,1952,4.662712289043565,2,5,1060976.488572305
4266,2,1,2008,1.3992857207687277,1,10,901471.7427249742
4350,2,1,1968,0.6350959946708234,1,5,877752.3422257571
2622,1,3,1971,3.4020630738156017,0,4,561747.2624036099
1456,1,1,1983,2.541105499652754,0,6,297387.92248393584
1443,3,1,1991,1.1926377940230726,1,10,320689.21882179775
516,5,3,1959,3.57554199833379,1,1,171023.95659837997
3772,5,1,2005,0.5708431084805464,0,2,819125.6470544274
4864,2,2,1997,1.0686041659152976,2,2,988325.4879158875
3160,3,2,1974,1.358266944159026,0,6,645375.2217757016
2185,4,2,1981,3.9416043760667474,2,5,504176.5060593679
2338,2,3,2018,4.071067945424607,1,6,560304.6612210645
3702,5,1,1984,2.892098285487469,0,10,809686.201143527
970,4,2,1981,2.3488569132822343,1,1,258717.68020973942
3830,3,2,1983,2.8541435931372434,1,4,827140.4447152761
4096,1,1,1982,2.7360298332502198,2,2,826494.0471232897
1269,2,2,2006,3.5550397628502823,1,9,335332.59275293903
3482,3,2,1999,2.778486392094205,0,8,775422.1168993582
3728,2,1,1984,1.629860466493255,0,6,771385.1497807608
3231,1,1,2017,3.9843620732506784,1,10,731490.1175330897
2222,1,1,1994,4.813240260504831,0,8,515813.7578353911
4646,1,2,2016,1.1281949031191005,0,9,965317.5061019753
3995,2,3,1981,3.4997768819571755,2,6,872258.3925462884
1353,5,3,1996,1.9026042283176865,1,1,354054.70019158506
724,2,2,1982,3.319056588546172,0,5,194628.72736203528
1454,4,1,2010,2.9946050654736607,1,3,369854.9244932172
2651,5,3,1970,2.7150454183208375,1,6,601083.947569366
1515,2,1,1974,1.63690713779579,0,6,300935.18607341987
4533,2,1,1971,2.8562024621867526,1,6,940711.9831153804
3854,2,1,1974,3.2734152150480336,1,8,811129.4971755756
646,1,1,1956,2.3105072985679973,2,4,146406.89625235138
4223,1,1,2012,2.575251055642595,1,9,884677.6890798345
4607,4,1,1983,3.1547654726081396,0,10,978190.835072989
4925,2,3,1959,4.896642544453292,2,7,1034380.2041616677
3677,5,2,1987,4.332174436868986,0,6,847131.2132821754
2714,3,1,1967,3.413824091795134,1,4,574450.4841823126
4688,5,3,1983,1.9167162320824196,2,7,1004456.2194818491
625,3,1,2007,2.3893191395884292,0,2,185569.89426877032
2990,1,2,1986,3.9718042789931944,2,6,663456.3939054122
862,2,1,2012,2.7166955234981636,2,7,234762.8244790115
509,2,1,2005,4.019228461686913,0,3,179398.43319315853
3690,3,1,1996,4.888309891889787,0,9,814843.6877321303
1074,2,3,1986,2.7453700261119467,0,6,251724.67925135954
3224,5,1,1964,4.608016001314589,1,5,705754.4319783618
2765,5,2,1992,4.124866611092257,0,5,652434.7052233267
1223,2,3,2017,0.7275163458179252,2,9,307116.6791374497
4297,3,2,1957,3.2651859988023406,2,2,910000.3859570917
2704,3,2,1950,1.1829893443299593,0,2,539133.0843265855
780,2,1,2008,2.590759259640369,2,1,217462.44505708842
3461,5,3,2009,2.5380998162042485,2,8,798362.7750475319
3719,4,2,2016,2.25767123411802,1,10,828512.1019589091
2560,4,2,2015,3.8025741965084126,0,2,622100.1895022333
1059,4,3,1957,4.180353375447632,0,2,263760.9441483153
4742,1,1,1977,0.8358729398574296,2,10,931856.9695152728
1639,2,2,2008,2.281827149364222,1,9,395042.35505971045
2982,1,3,1956,3.5660885595860696,0,4,626454.2784147046
888,1,3,1972,3.2865756442411174,0,3,215993.8951157028
1108,5,1,1984,1.9048836569792165,2,7,285546.501684919
1705,5,1,2003,1.166978579446961,2,10,400306.9574091656
1228,4,2,1959,3.0040529262145537,2,6,287478.2675046062
4658,1,3,1987,4.544545503818065,2,6,1021278.340082141
2261,1,1,1962,0.8456334848117657,0,6,439898.8032648414
1332,4,1,2006,1.7701811168581978,0,7,317780.5942863934
801,4,3,1973,4.733479848602754,2,10,258111.6713724362
